X Y TOL_COUNTS TOL_BG APER_RAD MAG TOL_COUNTS_ERR MAG_ERR
3146 2113 50430.93103448278 1288522.0689655172 11 13.543257535015318 224.56832152929047 -0.004831491782150063
4241 181 60504.336956521496 2086387.6630434785 14 13.345533734906903 245.9762934848021 -0.004410994184149042
2210 2170 52560.66810344835 1277179.3318965517 11 13.498347807641007 229.2611351787484 -0.0047325945549124854
1635 1041 24187.525000000023 1043891.475 10 14.34102142188515 155.52339052374091 -0.006976442555336221
382 886 57040.53040540544 2388230.4695945946 15 13.409541111858319 238.83159423620117 -0.004542950037535443
1251 243 29594.858695652103 2080730.141304348 14 14.121959323201013 172.03156307972122 -0.006306982164064856
3693 2070 57897.930232557934 3041455.069767442 17 13.393342403489948 240.61988744191103 -0.004509186715756959
4043 2321 40888.70258620684 1274478.2974137932 11 13.77099167388259 202.20955117453488 -0.005365720826230876
2661 1262 41439.98780487804 2719226.012195122 16 13.756450952671715 203.5681404465788 -0.005329910651144991
4382 2148 17101.557692307688 495696.4423076923 7 14.717410825428463 130.77292415598762 -0.008296824491786986
508 1707 26701.050000000047 1041876.95 10 14.233679149936897 163.40455929991685 -0.006639961606019594
3097 2307 33847.96982758632 1276578.0301724137 11 13.976168437027422 183.9781775852406 -0.005897438567121902
1460 212 105490.20990566071 5192526.790094339 22 12.741969608764956 324.7925644248352 -0.003340593716858611
793 1353 53764.2421875 3854551.7578125 19 13.473766178106548 231.8711758444762 -0.004679322455878458
3954 1840 83641.91360294167 8379465.086397058 28 12.99394009931755 289.20911742706465 -0.003751610632654501
3477 574 21743.19827586203 1277939.801724138 11 14.456691434502217 147.4557502298979 -0.007358139633811359
4009 1876 26686.918478260865 852672.0815217391 9 14.234253927572244 163.3613126730465 -0.006641719402509537
1452 296 30143.883620689623 1276803.1163793104 11 14.10200198901325 173.61994015863968 -0.006249282190793384
765 189 78221.58418367337 4260361.415816327 20 13.066683481850134 279.6812188611766 -0.0038794167317275376
2674 790 59095.45454545459 2463659.5454545454 17 13.3711148063309 243.09556669230847 -0.0044632652695526485
3088 399 35545.54347826098 2083137.456521739 14 13.923037102955982 188.53525791814374 -0.00575489174799906
1965 599 35117.359375 1494792.640625 12 13.936195370011502 187.39626296967612 -0.005789869994235539
1552 496 59444.80067567574 2395464.1993243243 15 13.364715312100614 243.81304451500486 -0.004450131050856167
711 1872 40159.49568965519 1273153.5043103448 11 13.790529373906542 200.39834253220556 -0.0054142164365737315
2929 690 41190.19642857183 4264680.803571428 20 13.763015342417685 202.9536805001866 -0.005346047419913641
1224 844 41892.72826086939 2085849.2717391306 14 13.744653388303343 204.67713174868703 -0.005301031877524148
4192 1106 38606.01086956519 2083655.9891304348 14 13.833362678459894 196.4841237086732 -0.005522074656824327
1490 505 128966.29967069253 27784553.700329307 51 12.523809402142332 359.1187821190818 -0.0030212844719444947
1899 1918 37378.25 3433096.75 18 13.868452588929518 193.33455459384388 -0.005612033515060779
1960 1834 42771.8125 3839367.1875 19 13.722105864183208 206.8134727236115 -0.0052462732998541615
694 440 101771.85964912269 5649416.140350877 23 12.780930724167007 319.01702093951457 -0.00340107244687021
2001 2415 19166.076086956542 853996.9239130435 9 14.593666980222146 138.4415981089374 -0.007837239780677996
4299 1606 36742.2109375 1495799.7890625 12 13.887086784673658 191.68257859675197 -0.005660399645825638
3427 2020 19077.086956521496 2085930.9130434785 14 14.598719851765114 138.11982825257746 -0.007855497749503991
693 1322 57905.7109375 11660236.2890625 33 13.393196504915748 240.63605494085877 -0.004508883759196688
1007 448 44282.5703125 1498237.4296875 12 13.684417947795238 210.43424225277596 -0.005156004975163148
2603 114 11534.457446808461 457552.54255319154 9 15.145007072081064 107.39859145635226 -0.010102553350906408
3729 1331 18459.7325581396 3050872.2674418604 17 14.63443648814601 135.8665983902578 -0.007985774376153066
4478 979 17122.885869565187 851316.1141304348 9 14.716057595115993 130.85444535653036 -0.008291655641073356
1849 1112 39287.66666666651 3435045.3333333335 18 13.81435940900145 198.21116685662923 -0.00547396000541587
1934 2167 39377.58695652173 2087250.4130434783 14 13.811877251955913 198.43786674050327 -0.005467706430339992
1490 2201 18769.965517241508 1276869.0344827585 11 14.616341313077095 137.00352374023635 -0.007919504333751291
3752 2363 50813.29009433929 5169253.709905661 22 13.535056710443374 225.41803409296978 -0.0048132794892200605
2653 518 68391.9140625 3848663.0859375 19 13.212488104092289 261.5184774781698 -0.00414884642363586
2873 783 29051.73648648616 2389198.263513514 15 14.142069759392397 170.44569952476408 -0.006365663686588703
2093 1956 29029.900000000023 1043472.1 10 14.142886150476189 170.38163046525887 -0.006368057384104173
2717 2223 33410.45258620684 1276809.5474137932 11 13.990294103155428 182.78526359148003 -0.0059359271020061255
992 125 24531.434554973734 1043727.5654450263 10 14.325692635691519 156.62514023927875 -0.006927368099032045
794 1483 16933.96794871794 497600.03205128206 7 14.728103166405022 130.130580374937 -0.008337778843941664
1144 932 38170.69921875 1496385.30078125 12 13.8456747112051 195.37323055820622 -0.005553473200499458
1613 594 29479.913043478504 2082065.0869565215 14 14.126184504609904 171.69715502441647 -0.00631926603469758
2267 1196 43020.3662790698 3053182.63372093 17 13.715814740781337 207.413515179387 -0.005231095953711644
1123 1451 20302.473684210563 1183365.5263157894 13 14.531127609410031 142.48674915307234 -0.007614743170499268
3965 1918 56815.94565217383 2085505.0543478262 14 13.413824401176813 238.36095664385522 -0.004551919975808548
1179 743 50917.5 3445307.5 18 13.532832319834775 225.64906381370164 -0.004808351435908406
4279 920 13815.435897435935 496907.56410256407 7 14.949088519745152 117.5390824255317 -0.00923097218057164
2616 124 19406.649006622494 654544.3509933775 8 14.580123622061315 139.30774926981806 -0.007788511448121374
2221 363 35222.32499999995 1046404.675 10 13.932954949900862 187.67611728720294 -0.00578123639642231
2984 473 29901.166666666744 1769416.8333333333 13 14.110779665726481 172.91953812876886 -0.006274594598974858
4489 2294 12814.470588235301 373504.5294117647 6 15.030748328431576 113.20101849469067 -0.009584719417086236
2360 1170 23295.625 1768075.375 13 14.381814083353845 152.62904376297456 -0.007108738764588948
564 1575 49961.3515625 1498387.6484375 12 13.553414553837422 223.52036050995443 -0.00485414392462775
2226 723 54610.47513812152 1219550.5248618785 11 13.456810112178509 233.68884256233014 -0.00464292598698034
4318 477 48017.875 3438465.125 18 13.596492658187817 219.12981312454954 -0.0049514029356804365
2181 2129 46829.3671875 1495130.6328125 12 13.623704277167358 216.4009408193504 -0.0050138414181191025
203 2245 28970.237068965333 1273455.7629310347 11 14.145119877168176 170.20645425178603 -0.006374611378690504
2757 1951 90964.66438356042 9647818.33561644 30 12.902818196215694 301.6034886793593 -0.003597438493669034
1777 1559 47401.416666666744 1768864.5833333333 13 13.610521696377969 217.71866402921626 -0.004983495580582842
3171 2278 18966.908536585514 2710295.0914634145 16 14.605008625191797 137.72039985632307 -0.007878280931016226
1349 1467 16859.66304347827 851761.3369565217 9 14.732877773539812 129.8447651754905 -0.008356132020675443
3506 2289 19166.19318181812 661215.8068181819 8 14.593660346952944 138.44202101175105 -0.00783721584003678
715 214 33327.03515625 1497808.96484375 12 13.99300830094867 182.556936751935 -0.005943351259636534
2116 1801 57418.77364864899 2380243.226351351 15 13.402365218527388 239.62214765886935 -0.0045279620878142975
2796 1119 46224.800480769016 4697075.199519231 21 13.63781238675448 214.99953600128774 -0.005046522518976513
1673 1161 33198.59765625 1494613.40234375 12 13.997200652412744 182.2048233616498 -0.005954836869748692
2313 2416 28804.951086956542 857265.0489130435 9 14.151332144756449 169.72021413772887 -0.0063928743285671125
1674 1626 19546.056122449227 4249165.943877551 20 14.572352146443341 139.80721055242188 -0.0077606869896969305
508 697 29820.0 1772605.0 13 14.113730902207562 172.68468374467957 -0.006283128164419092
995 2061 22111.39673913049 850398.6032608695 9 14.43845955728707 148.69901391445234 -0.007296618662341692
1991 951 17962.650000000023 1042938.35 10 14.664073980491505 134.02481113584912 -0.008095515978009709
1562 122 16996.42857142852 661052.5714285715 8 14.724105816358657 130.37035158128754 -0.008322444381255572
4468 1501 19749.539772727294 662903.4602272727 8 14.561107550915802 140.5330558008588 -0.007720603482340055
760 280 73061.9324324322 2393432.067567568 15 13.140772113035304 270.2997085319039 -0.004014062781987558
1637 818 33471.63793103467 1278470.3620689653 11 13.98830758742009 182.9525565031401 -0.005930499254769243
4506 1365 16701.578571428545 662104.4214285715 8 14.743106197511109 129.2345873651034 -0.00839558528503475
437 883 32113.4609375 1497001.5390625 12 14.033282217626784 179.202290547582 -0.006054610109528201
144 1880 15112.426136363647 658942.5738636364 8 14.851664521969465 122.9326081085228 -0.008825973976263324
2814 813 14309.27586206887 1280907.7241379311 11 14.91095585918285 119.6213854712813 -0.009070284512466935
3282 889 11039.35483870958 1619340.6451612904 17 15.19264076719088 105.06833413883356 -0.010326612760094962
2573 2058 22132.57758620684 1277322.4224137932 11 14.43742001169354 148.7702174032385 -0.0072931263994804214
1117 959 37150.12244897988 4256273.87755102 20 13.875099376102483 192.74367032143982 -0.005629238035109215
1751 2443 15125.01630434778 854249.9836956522 9 14.850760371294609 122.98380504907051 -0.008822299810670889
1859 1537 20959.25 851766.75 9 14.49656065520946 144.77309832976567 -0.007494486285902204
2410 989 33168.82608695654 1743015.1739130435 13 13.998174746960924 182.1231069550389 -0.0059575087320899705
2109 2199 30738.5703125 1493867.4296875 12 14.080790839799809 175.32418633063722 -0.006188535778821979
2068 2231 55939.448170731775 2713174.551829268 16 13.430704555386214 236.5152176303499 -0.004587442663819411
1023 966 57783.96875 3859207.03125 19 13.395481582543468 240.38296268662637 -0.004513631032222749
2546 1782 38870.0 3446949.0 18 13.825963648421835 197.1547615453403 -0.005503290874110991
4007 2279 17119.11931818188 660773.8806818181 8 14.716296452694456 130.84005242349104 -0.008292567756608442
4258 2143 30925.67499999993 1042662.3250000001 10 14.074202031140718 175.85697313441946 -0.006169786620691239
3485 267 23733.32758620684 1276296.6724137932 11 14.361603415622637 154.05624812453027 -0.007042882149920643
3048 2156 13367.426136363647 855197.5738636364 9 14.984880517444088 115.61758575737363 -0.00938438554042202
499 2411 12477.23529411765 373523.76470588235 6 15.059704087420073 111.70154562098794 -0.00971338394619435
1609 2455 25515.875 857587.125 9 14.282973835215923 159.73689304603366 -0.006792419580161234
4001 1148 36919.958333333256 1770629.0416666667 13 13.881846994441268 192.14566956695447 -0.005646757496254289
3736 2220 22011.5 1768821.5 13 14.443375902302943 148.36273116925287 -0.007313157364043312
689 924 41369.3581081084 2386598.6418918916 15 13.758303044042897 203.3945872143809 -0.005334458575617816
3312 2012 22944.849999999977 1046525.15 10 14.398286942807946 151.4755755889377 -0.00716287094986446
4109 359 12485.159090909176 661783.8409090908 8 15.05901479830686 111.73700860014634 -0.009710301122188616
2957 2440 15610.125 660614.875 8 14.816484048142662 124.94048583225535 -0.00868413463236182
4392 1660 37452.55603448278 1279150.4439655172 11 13.866296343857156 193.52662874778443 -0.005606463601523475
2258 1407 16124.056818181882 660785.9431818181 8 14.781314200357969 126.98053716291281 -0.008544616554960485
2878 2191 25312.515625 1495871.484375 12 14.291661728395816 159.0990748716032 -0.00681964996261368
3471 2201 43383.47826086939 2082956.5217391306 14 13.706689078652364 208.28700934256412 -0.005209158283201086
1326 2000 25762.92672413797 1275758.073275862 11 14.272512004295429 160.5083384878741 -0.006759773418762092
1550 1850 30350.1484375 1493532.8515625 12 14.094597951304634 174.21293992554055 -0.006228010390409198
2401 1950 9613.322916666686 345635.6770833333 7 15.342816173146515 98.04755436351631 -0.011066058781816292
4193 2216 19383.54999999993 1041907.4500000001 10 14.581416702859595 139.22481818986128 -0.007793150776612128
2395 1322 12466.25 2085063.75 14 15.060660419879145 111.65236226788934 -0.00971766273423523
1397 1891 30852.275000000023 1043906.725 10 14.076782015582692 175.64815683633012 -0.006177121465675319
3579 636 25392.41666666651 1772577.5833333335 13 14.288239910374553 159.34998169647372 -0.006808911983853776
1897 263 15049.099999999977 1042788.9 10 14.85622367986325 122.67477328285541 -0.00884452419160603
