X Y TOL_COUNTS TOL_BG APER_RAD TOL_COUNTS_ERR MAG MAG_ERR
4160 2304 71484.40625 1492013.59375 12 267.3656788931594 13.164471714314876 -0.004058112486582735
500 1292 266074.6796875 1626203.3203125 12 515.824272100005 11.737491129998903 -0.002103429517930181
1764 1880 77438.87890625 1494545.12109375 12 278.27841976382217 13.077602357494046 -0.0038989728377818557
1667 2077 77393.8671875 1496660.1328125 12 278.1975326768733 13.078233630339033 -0.003900106480312421
2696 1310 77156.3984375 1501289.6015625 12 277.77040597857075 13.081570132172036 -0.003906103662042763
3070 2338 117736.52734375 1502496.47265625 12 343.12756715797406 12.622721944786955 -0.003162089274804527
2587 2009 67487.8984375 1495827.1015625 12 259.78433062350007 13.226935238774088 -0.004176541354114492
748 2099 157895.02734375 1509269.97265625 12 397.36007265923183 12.304078867999785 -0.002730520942224798
2223 906 2845.6338028169703 1237289.366197183 12 53.34448240274687 16.66455247219688 -0.020339498128566155
956 2139 75319.05859375 1492704.94140625 12 274.4431791714817 13.107737792074396 -0.003953459522206067
2557 2114 77306.36328125 1496272.63671875 12 278.0402188195981 13.079461891847341 -0.0039023131423442906
4363 2106 110769.33203125 1499727.66796875 12 332.82026986235377 12.688951157980862 -0.0032600177881254916
1164 852 149934.69140625 1516586.30859375 12 387.21401240948137 12.360244674664242 -0.0028020680172405675
1064 1237 68631.54296875 1511475.45703125 12 261.97622596096386 13.208690593066153 -0.004141597185088359
2223 1632 62410.51953125 1495166.48046875 12 249.82097496257194 13.311855505388206 -0.004343110101794111
1144 1401 106990.84765625 1499311.15234375 12 327.09455461112464 12.726633429207338 -0.003317083652737454
1402 249 72886.5234375 1496209.4765625 12 269.97504224927906 13.143381910953359 -0.004018890009092674
2710 187 60853.98828125 1497966.01171875 12 246.68601152325195 13.33927738369249 -0.004398303711265488
940 2052 68884.15625 1490811.84375 12 262.4579132927792 13.204701642054404 -0.004133996138229035
3905 513 103087.84375 1508319.15625 12 321.07295705182025 12.766981360640864 -0.0033792942574882886
